web-scraper-order,web-scraper-start-url,category,category-href,plant,plant-href,name,description,price,water,light
"1682093140-51","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Sansevieria Shark Fin
$32.99","https://piante.ca/collections/small-plants/products/4-shark-fin-sansevieria","4"" Sansevieria Shark Fin","Also known as the ""Whale Fin"", this sansevieria exhibits wide, mottled leaves giving it the appearance of a fin. Like other types of Snake Plants, this charming cultivar requires little maintenance and thrives even in neglect. Plus, they help clean the air and are a wonderful additon to any plant parent's family.","$32.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093143-52","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Peace Lily
$28.99","https://piante.ca/collections/small-plants/products/4-peace-lily","4"" Peace Lily","Peace Lily is a classic ornamental plant and a long-time favourite of many plant hobbyists and collectors. While its flowers remind you of calla lilies, this famed air cleaning plant is not a true lily since it’s actually a part of the Arum family. The leaves are attractive as they are - glossy, dark green, and lance-shaped that arch out from the plant’s base. Yet, the white flowers are the main attraction. They form a club-like cluster, surrounded by an elegant white bract.","$28.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093145-53","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Prayer Plant
$20.99","https://piante.ca/collections/small-plants/products/4-prayer-plant","4"" Prayer Plant","Maranta leuconeura, or more commonly known as the Prayer Plant, is a one-of-a-kind foliage plant that flaunts a striking display of patterned foliage. The name originated from the fact that the unique-looking leaves remain flat during the day but fold up, resembling praying hands, at night. The decorative foliage is usually tri-coloured, featuring deep green, velvet-like sheets with red veins and yellow splotches along the center. The Prayer Plant makes a great indoor houseplant for shelves, window sills, or desks.","$20.99","These are plants that need regular watering twice a week or once every five days or so. For these plants, it’s best to keep the soil evenly moist and watered.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093148-54","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","3.25"" Sarracenia
$28.99","https://piante.ca/collections/small-plants/products/325-sarracinea","3.25"" Sarracenia","Sarracenia or Trumpet Pitcher is a variety of carnivorous plant that displays an upright growth habit. The Pitcher Plant is one of the most fascinating carnivorous plants that can attract anyone’s attention in an instant. A great conversation piece, it flaunts fleshy funnels or pitcher-like tubes that trap insects and small animals. The elongated, pitcher-like traps, in fact, are the plant’s specialized leaves. It’s the perfect plant if you’re looking to add an exotic plant display in your home, office, or garden.","$28.99","null","null"
"1682093150-55","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Dracaena Jade Jewel
$26.99","https://piante.ca/collections/small-plants/products/4-dracaena-malaika","4"" Dracaena Jade Jewel","Dracaenas continue to maintain their position as a beloved household staple for both new and experienced plant parents. Between their easy-going nature and versatility of design, you can’t go wrong with adding one of these tropical beauties to your plant collection.","$26.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093152-56","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Dracaena Twist
$26.99","https://piante.ca/collections/small-plants/products/4-dracaena-pequena","4"" Dracaena Twist","This group of plants continues to maintain their position as a beloved household staple for both new and experienced plant parents. Between their easy-going nature and versatility of design, you can’t go wrong with adding one of these tropical beauties to your plant collection.","$26.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093155-57","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Dracaena White Surprise
$26.99","https://piante.ca/collections/small-plants/products/4-dracaena-white-surprise","4"" Dracaena White Surprise","Dracaenas continue to maintain their position as a beloved household staple for both new and experienced plant parents. Between their easy-going nature and versatility of design, you can’t go wrong with adding one of these tropical beauties to your plant collection.","$26.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093157-58","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB String of Dolphins
$30.99","https://piante.ca/collections/small-plants/products/4-hb-string-of-dolphin","4"" HB String of Dolphins","Similar to the String of Banana, this succulent is known for its delicate dolphins-like leaves adorned across its viney stems. Perfect for a hanging basket or the edge of a shelf, the cascading stems will be sure to catch the eye. Make sure you keep this succulent in a well light area, and beware of overwatering.","$30.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093159-59","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4'' HB Rhipsalis Hatiora
$30.99","https://piante.ca/collections/small-plants/products/4-hb-rhipsalis-hatiora","4'' HB Rhipsalis Hatiora","Succulents are highly popular houseplants that come in various forms, sizes, colors, and blooms. Most of them present fascinating forms, while others exhibit spikes or a trailing habit. These plants have one thing in common, though. They have a water-storing capacity through their fleshy and thick stems, leaves, or roots. Regardless of which ones you’d pick, succulents present an exotic and fun display in your home or office.","$30.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093162-60","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Dieffenbachia Reflector
$24.99","https://piante.ca/collections/small-plants/products/dieffenbachia-reflector","4"" Dieffenbachia Reflector","The Dieffenbachia Reflector is also called the dumb cane. It has big green leaves which have lighter green or white speckles on them. It got the name Reflector due to the color patterning on its leaves.","$24.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
